id,MaxEval,MinEval,FinalEval,W<=10,W<=25,W<=50,W<=100,W<=200,W<=500,W>500,B<=10,B<=25,B<=50,B<=100,B<=200,B<=500,B>500,Wprojection,Bprojection,DifProjection
0,81,-6153,-6153,21,13,13,13,9,2,0,44,18,10,6,4,2,0,1152,-38380,-37228
1168,99995,27,99995,13,3,5,3,1,0,0,15,5,7,3,4,0,1,17855,0,17855
1772,99999,3,99999,9,2,2,0,0,0,0,9,5,0,1,0,0,1,3851,0,3851
2129,133,-972,-972,9,3,2,0,1,0,1,8,6,1,2,1,0,0,2030,-1888,142
2522,109,-1187,-1187,9,2,2,0,0,3,0,15,2,1,1,0,0,0,1406,-6327,-4921
2924,1142,12,1142,14,9,6,7,1,1,0,22,4,13,7,5,1,0,28599,0,28599
3711,159,-947,-940,10,2,0,0,0,0,1,10,5,3,0,0,0,0,2204,-1887,317
4099,824,-10,802,10,2,1,1,1,0,0,11,2,1,2,4,1,0,12262,-10,12252
4534,1020,19,953,10,5,4,5,0,1,0,15,5,4,5,5,1,0,28180,0,28180
5119,99999,-369,99999,24,5,6,12,3,1,0,26,5,9,7,5,4,1,14634,-10702,3932
5965,110,-99995,-724,8,9,5,0,4,1,1,18,6,4,3,3,0,1,1531,-9963,-8432
6550,217,-1414,-1220,10,9,7,6,6,3,0,22,5,3,10,4,1,0,2861,-14561,-11700
7231,275,-99998,13,12,2,5,1,2,3,2,19,4,3,1,3,0,2,2444,-6440,-3996
7780,93,-75,3,16,4,5,2,0,0,0,21,8,0,1,1,0,0,1764,-447,1317
8329,62,-1016,-20,20,8,2,1,1,0,1,28,6,1,2,0,0,1,1025,-2815,-1790
8962,75,-99998,-99998,14,3,6,5,1,1,1,16,10,6,2,0,0,1,1491,-6563,-5072
9564,76,-712,-687,7,5,4,1,1,1,0,15,5,2,0,0,0,0,1226,-6359,-5133
10000,1181,-24,1172,13,9,3,4,2,0,1,20,8,4,5,4,3,0,31270,-35,31235
10704,181,-74,0,12,14,9,6,0,0,0,18,15,9,4,1,0,0,3935,-1130,2805
11439,72,-99995,-246,11,6,8,5,3,3,1,22,5,7,0,3,3,1,1255,-26171,-24916
12123,839,15,814,13,6,7,2,3,0,0,14,9,5,5,5,1,0,19177,0,19177
12765,91,-14,-12,7,6,3,3,0,0,0,8,7,5,2,0,0,0,1872,-26,1846
13215,63,-93,8,11,7,2,3,0,0,0,13,3,7,1,0,0,0,801,-894,-93
13694,68,-99994,-1004,14,7,5,3,2,2,1,21,7,7,4,0,0,1,1289,-26665,-25376
14339,67,-718,-190,12,12,8,1,5,1,0,30,4,7,2,3,2,0,907,-24200,-23293
15076,64,-1155,-1155,10,4,0,1,0,3,0,11,9,0,1,0,0,0,1240,-7527,-6287
15490,771,29,757,9,5,4,3,1,1,0,14,5,5,2,3,2,0,15918,0,15918
16041,186,-1,0,10,6,2,1,2,0,0,10,6,4,2,1,0,0,3180,-1,3179
16513,150,-30,0,40,7,7,0,0,0,0,40,10,4,1,1,0,0,4404,-108,4296
17354,1113,27,1113,14,8,3,4,4,0,0,17,10,8,9,1,1,0,32228,0,32228
18103,934,-20,934,16,6,7,6,5,2,0,19,7,10,9,8,2,0,23762,-53,23709
18921,496,6,496,14,6,5,4,0,0,0,18,10,7,5,1,0,0,14059,0,14059
19573,263,-15,0,26,8,3,3,1,0,0,28,11,1,1,2,0,0,4123,-43,4080
20253,363,-219,95,20,8,9,6,3,1,0,30,10,7,3,5,1,0,12520,-941,11579
21064,169,-32,58,10,9,6,2,1,0,0,15,9,1,7,0,0,0,2884,-33,2851
21627,194,-72,150,9,6,2,2,0,0,0,12,3,6,1,1,0,0,1704,-305,1399
22105,1100,-156,917,22,11,5,5,3,1,2,35,11,6,5,8,0,2,42468,-726,41742
23077,113,-425,-1,19,7,7,15,4,0,0,33,4,6,8,8,0,0,1328,-19041,-17713
23959,73,-75,-75,4,1,4,2,0,0,0,8,3,3,0,0,0,0,1070,-133,937
24332,448,-836,-836,12,6,4,4,2,0,1,16,8,4,5,1,1,0,7837,-1708,6129
24915,787,0,748,16,11,15,7,6,0,0,31,12,15,5,7,2,0,56230,0,56230
25940,936,-75,932,20,8,7,0,1,0,0,26,8,2,3,2,1,0,12870,-79,12791
26623,941,-97,941,18,13,7,6,2,2,0,27,9,8,6,5,1,1,10226,-1483,8743
27464,150,-37,0,15,4,6,7,1,0,0,19,6,9,2,2,0,0,4142,-80,4062
28105,116,-64,18,10,5,3,3,0,0,0,14,5,2,4,0,0,0,1960,-116,1844
28597,80,-1234,-1234,17,11,7,10,3,0,0,32,6,9,6,0,0,0,1027,-32531,-31504
29392,130,-84,53,11,4,7,2,0,0,0,17,5,4,4,0,0,0,2526,-329,2197
29938,152,-137,0,34,13,10,4,5,0,0,45,10,9,5,6,0,0,2199,-3038,-839
33061,739,0,580,19,10,6,1,3,0,1,21,11,6,7,2,2,0,17493,0,17493
33818,641,-12,435,18,7,6,2,2,1,0,22,6,6,5,3,1,0,13231,-12,13219
34506,145,-72,0,17,9,6,5,0,0,0,24,7,3,7,0,0,0,2156,-986,1170
35172,149,-81,0,17,7,5,2,0,0,0,17,9,4,1,1,0,0,2643,-438,2205
35741,68,-445,-7,18,10,3,4,1,2,0,19,8,7,2,3,1,0,1414,-3921,-2507
36410,185,-804,-804,13,9,3,6,3,1,0,24,5,3,5,1,0,0,2073,-8882,-6809
