id,Event,Site,Date,White,Black,Result,BlackElo,ECO,WhiteElo,WhiteWon,BlackWon
0,New York,New York,1918,"Morrison, John Stuart","Marshall, Frank James",0-1,,C89,,0,1
1168,New York,New York,1918,"Capablanca, Jose Raul","Marshall, Frank James",1-0,,C89,,1,0
1772,Brno,Brno,1921,"Sery, S.","Vecsey, Zoltan",1-0,,C89,,1,0
2129,NLD-ch,Nijmegen,1921,"Te Kolste, Jan Willem","Loman, Rudolf",0-1,,C89,,0,1
2522,USA sim,USA,1926,"Lasker, Emanuel","Bigelow, Horace Ransom",0-1,,C89,,0,1
2924,Prague Evony,Prague,1927,"Schulz, Jan Sr","Hromadka, Karel",1-0,,C89,,1,0
3711,Lasker mem,Berlin,1928,"Steiner, Lajos","Helling, Karl",0-1,,C89,,0,1
4099,Bradley Beach,Bradley Beach,1929,"Fox, Maurice","Steiner, Herman",1-0,,C89,,1,0
4534,Hamburg ol,Hamburg,1930,"Stoltz, Goesta","Steiner, Herman",1-0,,C89,,1,0
5119,Hamburg ol,Hamburg,1930,"Gromer, Aristide","Van den Bosch, Johannes",1-0,,C89,,1,0
5965,Krakow,Krakow,1938,"Dake, Arthur William","Borowski, Natan",0-1,,C89,,0,1
6550,Krakow,Krakow,1938,"Mross, Paul","Kapfer, T.",0-1,,C89,,0,1
7231,Krakow,Krakow,1938,"Dake, Arthur William","Kapfer, T.",0-1,,C89,,0,1
7780,Krakow,Krakow,1938,"Dake, Arthur William",Pope John Paul II,1/2-1/2,,C89,,0,0
8329,Krakow,Krakow,1938,"Dake, Arthur William",Ropstorff,1/2-1/2,,C89,,0,0
8962,Buenos Aires ol prel-A,Buenos Aires,1939,"Dulanto, A.","Alexander, Conel Hughes",0-1,,C89,,0,1
9564,UJCS-17.Kongress,Prague,1943,"Foltys, Jan","Thelen, Bedrich",0-1,,C89,,0,1
10000,Hastings4546,Hastings,1945,"Christoffel, Martin","Steiner, Herman",1-0,,C89,,1,0
10704,JUG-ch,Novi Sad,1945,"Tsvetkov, Alexandar K","Preinfalk, Anton",1/2-1/2,,C89,,0,0
11439,Mar del Plata,Mar del Plata,1946,"Luckis, Marcos","Sanguinetti, Renato",1/2-1/2,,C89,,0,0
12123,Moscow-ch,Moscow,1946,"Baturinsky, Victor Davidovich","Estrin, Yacov",1-0,,C89,,1,0
12765,Pittsburgh op,Pittsburgh,1946,"Shipman, Walter","Katz, F.",1/2-1/2,,C89,,0,0
13215,URS-ch15,Leningrad,1947,"Boleslavsky, Isaak","Lilienthal, Andor",1/2-1/2,,C89,,0,0
13694,URS-ch sf,Moscow,1947,"Petrosian, Tigran V","Averbakh, Yuri L",0-1,,C89,,0,1
14339,Parnu,Parnu,1947,"Simagin, Vladimir","Lilienthal, Andor",0-1,,C89,,0,1
15076,GER-chB,Weidenau,1947,"Kuppe, W.","Rautenberg, Wilhelm",0-1,,C89,,0,1
15490,Bad Gastein,Bad Gastein,1948,"Beni, Alfred","Galia, Karl",1-0,,C89,,1,0
16041,Saltsjobaden Interzonal,Saltsjobaden,1948,"Boleslavsky, Isaak","Pirc, Vasja",1/2-1/2,,C89,,0,0
16513,URS-ch17,Moscow,1949,"Smyslov, Vassily","Sokolsky, Alexey",1/2-1/2,,C89,,0,0
17354,Trencianske Teplice,Trencianske Teplice,1949,"O'Kelly de Galway, Alberic","Rohacek, Ivan Vladimir",1-0,,C89,,1,0
18103,URS-ch sf,Vilnius,1949,"Bannik, Anatoly","Simagin, Vladimir",1-0,,C89,,1,0
18921,NLD-ch,Amsterdam,1950,"Euwe, Max","Donner, Jan Hein",1-0,,C89,,1,0
19573,Bled,Bled,1950,"Puc, Stojan","O'Kelly de Galway, Alberic",1/2-1/2,,C89,,0,0
20253,HUN-ch06,Budapest,1950,"Bely, Miklos","Pogats, Jozsef",1-0,,C89,,1,0
21064,Candidats Tournament,Budapest,1950,"Boleslavsky, Isaak","Szabo, Laszlo",1/2-1/2,,C89,,0,0
21627,Dubrovnik olm,Dubrovnik,1950,"Kupferstich, Moises","Maccioni Seisdedos, Alejandro",1/2-1/2,,C89,,0,0
22105,Dubrovnik olm,Dubrovnik,1950,"Bergqvist, Nils","Zapata Vinces, Mario",1-0,,C89,,1,0
23077,URS-ch sf,Gorky,1950,"Byvshev, Vasily Mikhailovich","Sidorov, Anatoly",1/2-1/2,,C89,,0,0
23959,Mar del Plata,Mar del Plata,1950,"Bolbochan, Julio","Rossolimo, Nicolas",1/2-1/2,,C89,,0,0
24332,URS-ch18,Moscow,1950,"Geller, Efim P","Suetin, Alexey S",0-1,,C89,,0,1
24915,Wch (Women),Moscow,1950,"Mora Iturralde, Maria Teresa","Karff, Mona M",1-0,,C89,,1,0
25940,URS-ch18,Moscow,1950,"Averbakh, Yuri L","Liublinsky, Victor Alexandrovic",1-0,,C89,,1,0
26623,URS-ch18,Moscow,1950,"Suetin, Alexey S","Borisenko, Georgy K",1-0,,C89,,1,0
27464,URS-ch18,Moscow,1950,"Konstantinopolsky, Alexander","Borisenko, Georgy K",1/2-1/2,,C89,,0,0
28105,Candidats Playoff 1pl,Moscow,1950,"Boleslavsky, Isaak","Bronstein, David I",1/2-1/2,,C89,,0,0
28597,Szcawno Zdroj,Szcawno Zdroj,1950,"Tarnowski, Alfred","Szabo, Laszlo",0-1,,C89,,0,1
29392,Staunton mem,Birmingham,1951,"Unzicker, Wolfgang","Rossolimo, Nicolas",1/2-1/2,,C89,,0,0
