id,Event,Site,Date,White,Black,Result,BlackElo,ECO,WhiteElo,White Short Castle,White Long Castle,Black Short Castle,Black Long Castle,Opposite side castling,WhiteWon,BlackWon,Moves,WhiteFinalPiecesCount,BlackFinalPiecesCount,FinalPiecesCount,QueenTrade
0,New York,New York,1918,"Morrison, John Stuart","Marshall, Frank James",0-1,,C89,,1,0,1,0,0,0,1,85,1,3,4,0
1168,New York,New York,1918,"Capablanca, Jose Raul","Marshall, Frank James",1-0,,C89,,1,0,1,0,0,1,0,36,7,5,12,0
1772,Brno,Brno,1921,"Sery, S.","Vecsey, Zoltan",1-0,,C89,,1,0,1,0,0,1,0,17,12,10,22,0
2129,NLD-ch,Nijmegen,1921,"Te Kolste, Jan Willem","Loman, Rudolf",0-1,,C89,,1,0,1,0,0,0,1,19,11,10,21,0
2522,USA sim,USA,1926,"Lasker, Emanuel","Bigelow, Horace Ransom",0-1,,C89,,1,0,1,0,0,0,1,20,11,11,22,0
2924,Prague Evony,Prague,1927,"Schulz, Jan Sr","Hromadka, Karel",1-0,,C89,,1,0,1,0,0,1,0,53,4,2,6,1
3711,Lasker mem,Berlin,1928,"Steiner, Lajos","Helling, Karl",0-1,,C89,,1,0,1,0,0,0,1,19,11,10,21,0
4099,Bradley Beach,Bradley Beach,1929,"Fox, Maurice","Steiner, Herman",1-0,,C89,,1,0,1,0,0,1,0,22,12,9,21,0
4534,Hamburg ol,Hamburg,1930,"Stoltz, Goesta","Steiner, Herman",1-0,,C89,,1,0,1,0,0,1,0,36,8,4,12,1
5119,Hamburg ol,Hamburg,1930,"Gromer, Aristide","Van den Bosch, Johannes",1-0,,C89,,1,0,1,0,0,1,0,58,5,5,10,1
5965,Krakow,Krakow,1938,"Dake, Arthur William","Borowski, Natan",0-1,,C89,,1,0,1,0,0,0,1,36,6,7,13,1
6550,Krakow,Krakow,1938,"Mross, Paul","Kapfer, T.",0-1,,C89,,1,0,1,0,0,0,1,46,3,3,6,1
7231,Krakow,Krakow,1938,"Dake, Arthur William","Kapfer, T.",0-1,,C89,,1,0,1,0,0,0,1,33,5,4,9,0
7780,Krakow,Krakow,1938,"Dake, Arthur William",Pope John Paul II,1/2-1/2,,C89,,1,0,1,0,0,0,0,32,7,7,14,1
8329,Krakow,Krakow,1938,"Dake, Arthur William",Ropstorff,1/2-1/2,,C89,,1,0,1,0,0,0,0,39,5,6,11,0
8962,Buenos Aires ol prel-A,Buenos Aires,1939,"Dulanto, A.","Alexander, Conel Hughes",0-1,,C89,,1,0,1,0,0,0,1,36,8,7,15,0
9564,UJCS-17.Kongress,Prague,1943,"Foltys, Jan","Thelen, Bedrich",0-1,,C89,,1,0,1,0,0,0,1,23,10,9,19,0
10000,Hastings4546,Hastings,1945,"Christoffel, Martin","Steiner, Herman",1-0,,C89,,1,0,1,0,0,1,0,45,2,2,4,1
10704,JUG-ch,Novi Sad,1945,"Tsvetkov, Alexandar K","Preinfalk, Anton",1/2-1/2,,C89,,1,0,1,0,0,0,0,48,7,8,15,1
11439,Mar del Plata,Mar del Plata,1946,"Luckis, Marcos","Sanguinetti, Renato",1/2-1/2,,C89,,1,0,1,0,0,0,0,42,9,9,18,0
12123,Moscow-ch,Moscow,1946,"Baturinsky, Victor Davidovich","Estrin, Yacov",1-0,,C89,,1,0,1,0,0,1,0,40,7,5,12,1
12765,Pittsburgh op,Pittsburgh,1946,"Shipman, Walter","Katz, F.",1/2-1/2,,C89,,1,0,1,0,0,0,0,23,9,9,18,0
13215,URS-ch15,Leningrad,1947,"Boleslavsky, Isaak","Lilienthal, Andor",1/2-1/2,,C89,,1,0,1,0,0,0,0,25,10,10,20,1
13694,URS-ch sf,Moscow,1947,"Petrosian, Tigran V","Averbakh, Yuri L",0-1,,C89,,1,0,1,0,0,0,1,41,5,5,10,1
14339,Parnu,Parnu,1947,"Simagin, Vladimir","Lilienthal, Andor",0-1,,C89,,1,0,1,0,0,0,1,49,2,4,6,0
15076,GER-chB,Weidenau,1947,"Kuppe, W.","Rautenberg, Wilhelm",0-1,,C89,,1,0,1,0,0,0,1,22,12,10,22,0
15490,Bad Gastein,Bad Gastein,1948,"Beni, Alfred","Galia, Karl",1-0,,C89,,1,0,1,0,0,1,0,32,8,7,15,0
16041,Saltsjobaden Interzonal,Saltsjobaden,1948,"Boleslavsky, Isaak","Pirc, Vasja",1/2-1/2,,C89,,1,0,1,0,0,0,0,24,12,9,21,0
16513,URS-ch17,Moscow,1949,"Smyslov, Vassily","Sokolsky, Alexey",1/2-1/2,,C89,,1,0,1,0,0,0,0,57,2,1,3,1
17354,Trencianske Teplice,Trencianske Teplice,1949,"O'Kelly de Galway, Alberic","Rohacek, Ivan Vladimir",1-0,,C89,,1,0,1,0,0,1,0,47,3,3,6,1
18103,URS-ch sf,Vilnius,1949,"Bannik, Anatoly","Simagin, Vladimir",1-0,,C89,,1,0,1,0,0,1,0,56,6,4,10,0
18921,NLD-ch,Amsterdam,1950,"Euwe, Max","Donner, Jan Hein",1-0,,C89,,1,0,1,0,0,1,0,42,5,4,9,1
19573,Bled,Bled,1950,"Puc, Stojan","O'Kelly de Galway, Alberic",1/2-1/2,,C89,,1,0,1,0,0,0,0,44,8,5,13,0
20253,HUN-ch06,Budapest,1950,"Bely, Miklos","Pogats, Jozsef",1-0,,C89,,1,0,1,0,0,1,0,57,6,4,10,1
21064,Candidats Tournament,Budapest,1950,"Boleslavsky, Isaak","Szabo, Laszlo",1/2-1/2,,C89,,1,0,1,0,0,0,0,33,11,10,21,0
21627,Dubrovnik olm,Dubrovnik,1950,"Kupferstich, Moises","Maccioni Seisdedos, Alejandro",1/2-1/2,,C89,,1,0,1,0,0,0,0,24,10,10,20,1
22105,Dubrovnik olm,Dubrovnik,1950,"Bergqvist, Nils","Zapata Vinces, Mario",1-0,,C89,,1,0,1,0,0,1,0,68,2,1,3,1
23077,URS-ch sf,Gorky,1950,"Byvshev, Vasily Mikhailovich","Sidorov, Anatoly",1/2-1/2,,C89,,1,0,1,0,0,0,0,60,3,3,6,1
23959,Mar del Plata,Mar del Plata,1950,"Bolbochan, Julio","Rossolimo, Nicolas",1/2-1/2,,C89,,1,0,1,0,0,0,0,15,10,10,20,0
24332,URS-ch18,Moscow,1950,"Geller, Efim P","Suetin, Alexey S",0-1,,C89,,1,0,1,0,0,0,1,36,5,5,10,0
24915,Wch (Women),Moscow,1950,"Mora Iturralde, Maria Teresa","Karff, Mona M",1-0,,C89,,1,0,1,0,0,1,0,73,4,2,6,1
