id,Plays
0,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. d4 exd4 11. cxd4 Bb4 12. Bd2 Bg4 13. Nc3 Nf6 14. Be3 Bxf3 15. gxf3 Qd7 16. d5 Ne7 17. Bg5 Qh3 18. Bxf6 gxf6 19. Qd4 Bd6 20. Qg4+ Qxg4+ 21. fxg4 Ng6 22. Ne4 Be5 23. Rab1 Nf4 24. g5 fxg5 25. Nxg5 Rae8 26. Re3 h6 27. Rbe1 hxg5 28. Rxe5 Rxe5 29. Rxe5 Kg7 30. Rxg5+ Kf6 31. Rg4 Ke5 32. h4 a5 33. a3 Rh8 34. f3 f5 35. Rg7 Kd6 36. Kf2 Re8 37. Rf7 Re2+ 38. Kg3 Nh5+ 39. Kh3 Nf4+ 40. Kg3 Nh5+ 41. Kh3 Rxb2 42. Bd1 Nf4+ 43. Kg3 Nh5+ 44. Kh3 Ke5 45. Re7+ Kd6 46. Rf7 Nf4+ 47. Kg3 Nxd5 48. h5 f4+ 49. Kh3 Rb1 50. Be2 Rh1+ 51. Kg4 Ke6 52. Rf8 Rg1+ 53. Kh3 Rh1+ 54. Kg4 Nf6+ 55. Kxf4 Rxh5 56. Ke3 Nd5+ 57. Kd4 Ke7 58. f4 Rh2 59. Rc8 Rxe2 60. Kxd5 Rc2 61. Rb8 c6+ 62. Ke5 Rc5+ 63. Ke4 Rc3 64. a4 bxa4 65. Ra8 Rc5 66. Rh8 a3 67. Rh7+ Kd6 68. Rh6+ Kc7 69. Rh7+ Kb6 70. Rh2 Rb5 71. Ra2 Rb4+ 72. Ke5 Rb3 73. f5 Kb5 74. f6 Rf3 75. Ke6 Ka4 76. f7 Kb3 77. Rg2 a2 78. Rg3 Rxg3 79. f8=Q Re3+ 80. Kd7 Rd3+ 81. Kxc6 a1=Q 82. Qf7+ Ka3 83. Qf8+ Ka4 84. Qf4+ Qd4
1168,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 Nf6 12. Re1 Bd6 13. h3 Ng4 14. Qf3 Qh4 15. d4 Nxf2 16. Re2 Bg4 17. hxg4 Bh2+ 18. Kf1 Bg3 19. Rxf2 Qh1+ 20. Ke2 Bxf2 21. Bd2 Bh4 22. Qh3 Rae8+ 23. Kd3 Qf1+ 24. Kc2 Bf2 25. Qf3 Qg1 26. Bd5 c5 27. dxc5 Bxc5 28. b4 Bd6 29. a4 a5 30. axb5 axb4 31. Ra6 bxc3 32. Nxc3 Bb4 33. b6 Bxc3 34. Bxc3 h6 35. b7 Re3 36. Bxf7+
1772,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 Nf6 12. h3 Bd6 13. Re1 Ng4 14. Qf3 Qh4 15. d4 Nxf2 16. Qxf2 Bg3 17. Qxf7+
2129,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 Nf6 12. h3 Bd6 13. Re1 Ng4 14. d4 Nxf2 15. Qf3 Qh4 16. Qxf2 Bh2+ 17. Kf1 Bg3 18. Qxf7+ Rxf7+
2522,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 Nf6 12. d4 Bd6 13. Re1 Ng4 14. h3 Qh4 15. Qe2 Bd7 16. Nd2 Rae8 17. Qf1 Bh2+ 18. Kh1 Nxf2+ 19. Kxh2 Rxe1
2924,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 Nf6 12. d4 Bd6 13. Re1 Ng4 14. h3 Qh4 15. Qf3 Nxf2 16. Re2 Bg4 17. hxg4 Bh2+ 18. Kf1 Bg3 19. Rxf2 Qh1+ 20. Ke2 Qxc1 21. Qxg3 Qxb2+ 22. Kd1 Qxa1 23. Kc2 b4 24. Bc4 Rab8 25. Rf1 a5 26. Nd2 Qxc3+ 27. Qxc3 bxc3 28. Kxc3 Rbe8 29. Rf3 g6 30. Nb3 Kg7 31. g5 Re4 32. Nc5 Re7 33. Nd3 h6 34. gxh6+ Kxh6 35. Ne5 f5 36. Nc6 Re1 37. Nxa5 g5 38. Rf2 g4 39. Nc6 f4 40. Ne5 g3 41. Re2 Rxe2 42. Bxe2 Ra8 43. Bc4 Kg5 44. Kb4 c6 45. a4 Kf5 46. Bd3+ Ke6 47. Be4 c5+ 48. Kxc5 Rxa4 49. Nd3 Ra5+ 50. Kb4 f3 51. Kxa5 f2 52. Nf4+ Kd6 53. Bd3
3711,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 Nf6 12. d4 Bd6 13. Re1 Ng4 14. h3 Qh4 15. Qf3 Nxf2 16. Qxf2 Bh2+ 17. Kf1 Bg3 18. Qxf7+ Rxf7+
4099,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 e4 10. Ng5 Ne5 11. Nxe4 Nd3 12. Nxf6+ Bxf6 13. Re3 Bf5 14. Qf3 Qd7 15. Rxd3 Be4 16. Qe2 Qf5 17. Re3 Bxb1 18. d3 Bg5 19. Rxb1 Bxe3 20. fxe3 Rae8 21. e4 a5 22. Be3
4534,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 e4 10. dxc6 exf3 11. Qxf3 Bg4 12. Qg3 Bd6 13. f4 Re8 14. Re5 h5 15. d4 Bxe5 16. fxe5 Nh7 17. h3 Be6 18. Bh6 g6 19. Bc2 h4 20. Qf4 Bd5 21. Nd2 Re6 22. Nf3 Rxc6 23. Ng5 Nf8 24. Rf1 Qe7 25. Qxh4 f6 26. exf6 Rxf6 27. Rxf6 Qxf6 28. Bxf8 Re8 29. Bc5 Qg7 30. Ne4 Bxe4 31. Bxe4 Qf7 32. d5 Re5 33. Bd4 Qe7 34. Qxe7 Rxe7 35. Bxg6 Re2 36. h4
5119,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 Nf4 12. d4 Ng6 13. Rh5 Bd7 14. Be3 Nh4 15. Bf4 Qc8 16. Qe2 Ng6 17. Qe4 Bg4 18. Re5 Nxe5 19. dxe5 Qf5 20. Nd2 Qxe4 21. Nxe4 Rfd8 22. f3 Be6 23. Bxe6 fxe6 24. Kf2 Kf7 25. Ke3 Rd5 26. Rc1 Rad8 27. c4 Rd1 28. Rc2 b4 29. c5 Ra1 30. b3 a5 31. Ke2 Rg1 32. Kf2 Rh1 33. g4 Rhd1 34. c6 h6 35. Be3 R8d5 36. f4 Rb5 37. Kf3 Rdd5 38. Rc4 Rb8 39. Bd4 Ra8 40. f5 Rad8 41. Ke3 a4 42. h4 axb3 43. axb3 Ra8 44. Kf4 Rad8 45. Ke3 Rb5 46. h5 Ra5 47. Kf4 Ra3 48. f6 gxf6 49. exf6 Bd6+ 50. Nxd6+ cxd6 51. Rxb4 Rc8 52. Rb7+ Kf8 53. g5 e5+ 54. Kf5 exd4 55. Kg6 hxg5 56. Rh7 Kg8 57. f7+ Kf8 58. Kf6
